exact,partial,none,jaccard,overlap,f1_set,len_a,len_b,len_inter,len_union
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,4,4,4,4
1,0,0,1.0,1.0,1.0,3,3,3,3
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
0,0,1,0.0,0.0,0.0,1,1,0,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,3,3,3,3
1,0,0,1.0,1.0,1.0,3,3,3,3
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.5,0.6666666666666666,0.6666666666666666,3,3,2,4
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
0,0,1,0.0,0.0,0.0,1,1,0,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
0,1,0,0.25,0.5,0.4,3,2,1,4
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,1,1,1,1
0,0,1,0.0,0.0,0.0,1,1,0,2
1,0,0,1.0,1.0,1.0,3,3,3,3
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
0,0,1,0.0,0.0,0.0,1,1,0,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,3,3,3,3
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,2,2,2,2
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.5,1.0,0.6666666666666666,2,1,1,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,3,3,3,3
1,0,0,1.0,1.0,1.0,3,3,3,3
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,3,3,3,3
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
0,0,1,0.0,0.0,0.0,1,1,0,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
0,0,1,0.0,0.0,0.0,1,1,0,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
0,1,0,0.6666666666666666,1.0,0.8,3,2,2,3
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
0,0,1,0.0,0.0,0.0,1,1,0,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,0,1,0.0,0.0,0.0,1,1,0,2
0,0,1,0.0,0.0,0.0,1,1,0,2
0,0,1,0.0,0.0,0.0,1,1,0,2
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,2,2,2,2
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
1,0,0,1.0,1.0,1.0,1,1,1,1
0,1,0,0.3333333333333333,0.5,0.5,2,2,1,3
0,1,0,0.75,1.0,0.8571428571428571,3,4,3,4
1,0,0,1.0,1.0,1.0,1,1,1,1
